"","P(0)","1-P(1)"
"Item1",0.2842,0.244
"Item2",0.1726,0.1599
"Item3",0.2076,0.1519
"Item4",0.2152,0.2761
"Item5",0.2871,0.2038
"Item6",0.1632,0.1704
"Item7",0.2486,0.2164
"Item8",0.2232,0.2375
"Item9",0.1621,0.2478
"Item10",0.2326,0.2879
"Item11",0.2131,0.1834
"Item12",0.2799,0.2221
"Item13",0.1583,0.1521
"Item14",0.2078,0.2675
"Item15",0.1873,0.2726
"Item16",0.1691,0.293
"Item17",0.1795,0.2076
"Item18",0.2613,0.218
"Item19",0.2459,0.1948
"Item20",0.2131,0.2161
"Item21",0.2009,0.2485
"Item22",0.2454,0.1794
"Item23",0.2604,0.2899
"Item24",0.2189,0.1523
"Item25",0.1874,0.2564
"Item26",0.2705,0.299
"Item27",0.2333,0.2733
"Item28",0.2593,0.1972
"Item29",0.1865,0.2356
"Item30",0.2582,0.1896
